Area,Type,Key,English,Russian,German,Spanish,Portuguese,Japanese,Korean
Main UI,Button,#HOME_ACADEMY,Academy,Академия,Akademie,Academia,Academia,アカデミー,아카데미
,,,,,,,,,
Main UI,,#HOME_FEATURE_LOCKED_TEMP,Sh. 2,Пост. 2,Lief. 2,Envío 2,Envio 2,出荷 2,배송 2
Main UI,,#HOME_RUNES_LOCKED,??? 1,??? 1,??? 1,??? 1,??? 1,??? 1,??? 1
Main UI,,#HOME_BADGES_LOCKED,??? 3,??? 3,??? 3,??? 3,??? 3,??? 3,??? 3
Main UI,,#HOME_SKILL_TREE_LOCKED,??? 4,??? 4,??? 4,??? 4,??? 4,??? 4,??? 4
Main UI,,#HOME_NO_INTERNET,No Internet,Нет Интернета,Kein Internet,Sin Internet,Sem Internet,インターネットなし,인터넷 없음
,,,,,,,,,
Mining,,#MINE,Mine,Шахта,Mine,Mina,Mina,採掘場,광산
Mining,,#MINE_INDEX,Mine {0},Шахта {0},{0} abbauen,Mina {0},Mina {0},採掘場{0},광산 {0}
Mining,,#MINE_INDEX_RANGE,Mine {0} - {1},Шахта {0} - {1},{0} - {1} abbauen,Mina {0} - {1},Mina {0} - {1},採掘場{0}-{1},광산 {0}-{1}
Mining,,#MINE_ORE_DEPOSIT,Ore deposit,Депозит руды,Erzvorkommen,Yacimiento,Depósito de Minério,鉱床,광석 광상
Mining,,#MINE_TRANSPORTATION,Transportation,Транспортировка,Transport,Transporte,Transporte,輸送,수송
Mining,,#MINE_MINING_RATE,Mining Rate,Добыча,Abbaurate,Extracción,Taxa Miner.,採掘効率,채굴 속도
Mining,,#MINE_CARGO,Cargo,Груз,Fracht,Carga,Carga,運搬,운반량
Mining,,#MINE_MOVE_SPEED,Move Speed,Скорость,Tempo,Velocidad de mov.,Velocidade de mov.,移動速度,이동 속도
Mining,,#MINE_SHIPPING_RATE,Shipping Rate,Скорость доставки,Liefergeschwindigkeit,Velocidad de envío,Velocidade de envio,配送効率,배송 속도
Mining,,#MINE_LEVEL,lvl {0},ур {0},Lvl. {0},Nv. {0},nv. {0},Lv {0},레벨 {0}
Mining,,#MINE_ORES,Ores,Руда,Erze,Minerales,Minérios,鉱石,오레
Mining,,#MINE_MINED,Mined,Добыто,Abgebaut,Extraído,Extraído,貯蔵,저장
Mining,,#MINE_PORTER,Porter,Носильщик,Träger,Porteador,Carregador,ポーター,포터
Mining,Button,#MINE_SPEED,speed,скорость,Geschw.,Velocidad,Velocidade,速度,속도
Mining,,#MINE_BOOST_ACTIVE,<color=white>{0}</color> speed\n<color=lime>Active</color>,<color=white>{0}</color> скорость\n<color=lime>Активна</color>,<color=white>{0}</color> Geschw.\n<color=lime>aktiviert</color>,Velocidad <color=white>{0}</color>\n<color=lime>Activada</color>,Velocidade <color=white>{0}</color>\n<color=lime>Ativada</color>,<color=white>{0}</color> 速度\n<color=lime>オン</color>,<color=white>{0}</color> 속도\n<color=lime>켜짐</color>
Mining,,#MINE_BOOST_LIMIT_REACHED,Max active mine boosts reached ({0}),Достигнут максимум активных бустов шахты ({0}),Max. aktive Minen-Boosts erreicht ({0}),Máximo de mejoras de mina activas alcanzado ({0}),Máximo de impulsos de mina ativos atingido ({0}),鉱山ブーストの同時発動上限に達しました ({0}),광산 부스트 최대 활성 수 도달 ({0})
Mining,,#STORAGE_TOTAL_MINES,Total mines: {0},Шахт всего: {0},Minen gesamt: {0},Total minas: {0},Total minas: {0},採掘場合計: {0},광산 총합: {0}
,,,,,,,,,
AFK,,#WELCOME_BACK,Welcome back,Добрый день,Willkommen,Hola de nuevo,Olá!,お帰りなさい,다시 오셔서 기뻐요
AFK,,#WELCOME_DESC1,Mining continued while you were away,Орки работали пока вас не было,Der Abbau ging in deiner Abwesenheit weiter,La extracción prosiguió durante tu ausencia.,A mineração continuou na sua ausência,いない間も採掘作業は進む…,자리를 비워도 채굴은 계속됩니다
AFK,,#WELCOME_MINING,Mining,Шахты,Abbau,Minería,Mineração,採掘,채굴
AFK,,#WELCOME_CRAFTING,Crafting,Крафт,Produktion,Fabricación,Fabricação,生産,생산
AFK,,#WELCOME_TIME_AWAY,Time Away,Время Оффлайн,Abwesend,Tiempo ausente,Tempo ausente,不在時間,방치 시간
AFK,,#WELCOME_MAX_IDLE,Max Idle Time {0},Максимально {0},Max. Inaktivität {0},Tiempo máx. {0},Tempo máx. ocioso {0},最大放置時間{0},최대 방치 시간 {0}
AFK,,#WELCOME_MAX,Max. {0},Макс. {0},Max. {0},Máx. {0},Máx. {0},最大{0},최대 {0}
AFK,Button,#WELCOME_OK,Ok,Ок,Ok,Vale,OK,OK,확인
AFK,,#WELCOME_WAIT,Wait...,Секунду...,Warte ...,Espera...,Aguarde...,お待ちください…,기다려주세요
AFK,,#WELCOME_X2_ALL_ITEMS,x2 all produced items,Удвоить все предметы,Verdopple alle produzierten Items,Duplica todos los objetos producidos,Duplica todos os itens produzidos,全製造アイテム2倍,생산된 모든 아이템 x2
AFK,,#WELCOME_ALL_ITEMS_DOUBLED,Produced items doubled,Все предметы удвоены,Produzierte Items wurden verdoppelt,Los objetos producidos han sido duplicados,Os itens produzidos foram duplicados,2倍になった製造アイテム,생산된 아이템 두 배 증가
AFK,,#WELCOME_AD_ITEMS_RECEIVED,New items received,Получены новые предметы,Neue Items erhalten,Nuevos objetos recibidos,Novos itens recebidos,取得した新アイテム,신규 아이템 획득
AFK,,#WELCOME_X2_NOT_AVAILABLE,,,,,,,
AFK,,#WELCOME_NOADS_DESC,Permanently double all items,Всегда удваивать предметы,Dauerhaft alle Items verdoppeln,Duplica permanentemente todos los objetos,Duplica permanentemente todos os itens,全アイテムがずっと2倍,영구적으로 모든 아이템 두 배 증가
,,,,,,,,,
Items,Button,#STORAGE_ORES,Ores,Руда,Erze,Minerales,Minérios,鉱石,광석
Items,Button,#STORAGE_BARS,Bars,Слитки,Barren,Lingotes,Barras,鋳塊,막대
Items,Button,#STORAGE_ITEMS,Items,Предметы,Items,Objetos,Itens,アイテム,아이템
Items,Button,#STORAGE_MARKET,Market,Рынок,Markt,Mercado,Mercado,マーケット,마켓
Items,,#STORAGE_BUILD_FOUNDRY,Build foundry,Постройте плавильню,Gießerei bauen,Construir fundición,Construir fundição,精錬場を建造,주조소를 건설하세요
Items,,#STORAGE_BUILD_WORKSHOP,Build workshop,Постройте мастерскую,Werkstatt bauen,Construir taller,Construir oficina,製造場を建造,작업장을 건설하세요
Items,,#STORAGE_KEEP_PLAYING_TO_UNLOCK,Keep playing to unlock,"Продолжайте играть, чтобы открыть","Spiel weiter, um freizuschalten",Sigue jugando para desbloquear,Continue jogando para desbloquear,プレイを続けてアンロックしよう,계속 플레이해서 잠금 해제하세요
Items,,#STORAGE_SELECT_RESOURCE,Select resource,Выберите ресурс,Ressource wählen,Elegir recurso,Selecionar recurso,資源を選択,자원 선택
Items,,#STORAGE_UNLOCK_CHAPTER,Unlock next chapter,Откройте следующую главу,Nächstes Kap. entsperren,Desbloquear siguiente capítulo,Desbloquear próximo ato,次のチャプターを解放,다음 챕터 잠금 해제
Items,,#STORAGE_INCOME,Income,Добыча,Ertrag,Ingresos,Renda,収益,수익
Items,,#STORAGE_TYPE,Type,Тип,Art,Tipo,Tipo,タイプ,유형
Items,,#STORAGE_VALUE,x1 Value,Цена x1,x1 Wert,Valor x1,Valor x1,x1 価値,x1 가치
Items,,#STORAGE_REVENUE,Revenue,Доход,Umsatz,Impuestos,Receita,利益,판매 수익
Items,Button,#STORAGE_SELL,Sell,Продать,Verk.,Vender,Vender,売却,판매
Items,Button,#STORAGE_AUTO,Auto,Авто,Auto,Auto,Auto,オート,자동
Items,,#STORAGE_AUTO_DESCRIPTION,The resource is sold automatically,Ресурс продаётся автоматически,Die Ressource wird automatisch verkauft,El recurso se vende automáticamente,O recurso é vendido automaticamente,リソースが自動的に売られます,자원이 자동으로 판매됩니다
Items,,#STORAGE_SELLING...,Selling...,Продажа...,Verkaufen,Vendiendo...,Vendendo,売却中…,판매 중...
Items,,#STORAGE_RECIPE,Recipe,Рецепт,Rezept,Receta,Projeto,レシピ,제조법
Items,Button,#STORAGE_UNLOCK,Unlock,Купить,Entsp.,Abrir,Abrir,解放,잠금 해제
Items,,#STORAGE_ITEM_LOCKED,Item\nlocked,Рецепт\nзаблокирован,Item\ngesperrt,Objeto\nbloqueado,Item\nbloqueado,未解放\nアイテム,아이템\n잠금 해제됨
Items,,#STORAGE_MARKET_MULTIPLIERS,Current chances:,Текущие вероятности:,Aktuelle Chancen:,Probabilidades actuales:,Chances atuais:,現在の確率:,현재 확률:
Items,,#STORAGE_REFRESH_MARKET,Refresh market multipliers,Обновить рыночные множители,Marktmultiplikatoren aktualisieren,Actualizar multiplicadores del mercado,Atualizar multiplicadores do mercado,マーケット倍率を更新,마켓 배율 새로고침
Items,,#STORAGE_REFRESHING,Refreshing…,Обновляется…,Aktualisiere…,Actualizando…,Atualizando…,更新中…,새로고치는 중…
Items,,#STORAGE_BOARD_TITLE,Merchant Board,Торговая доска,Händlertafel,Tabla de mercaderes,Quadro do Mercador,商人掲示板,상인 게시판
Items,,#STORAGE_NEXT_BOARD_TITLE,Next Board,Следующая доска,Nächste Tafel,Próxima tabla,Próximo Quadro,次の掲示板,다음 게시판
Items,Button,#STORAGE_NEXT,Next,Следующая,Zur Nächsten,Siguiente,Próximo,次へ,다음
Items,,#STORAGE_NEXT_MARKET_IN,Next in,Следующая через,Nächstes in,Siguiente en,Próximo em,次まであと,다음까지
,,,,,,,,,
Time,,#TIME_FORMAT_DAYS,{0}d {1}h,{0}д {1}ч,{0}d {1}h,{0}d {1}h,{0}d {1}h,{0}日{1}時間,{0}일 {1}시
Time,,#TIME_FORMAT_HOURS,{0}h {1}min,{0}ч {1}мин,{0}h {1}min,{0}h {1}min,{0}h {1}min,{0}時間{1}分,{0}시 {1}분
Time,,#TIME_FORMAT_MINUTES,{0}m {1}sec,{0}м {1}сек,{0}m {1}s,{0}min {1}s,{0}m {1}s,{0}分{1}秒,{0}분 {1}초
Time,,#TIME_FORMAT_SECONDS,{0}sec,{0}сек,{0}s,{0}s,{0}s,{0}秒,{0}초
Time,,#TIME_FORMAT_MINUTES_ONLY,{0}m,{0}м,{0}m,{0}m,{0}m,{0}分,{0}분
Time,,#TIME_FORMAT_HOURS_ONLY,{0}h,{0}ч,{0}h,{0}h,{0}h,{0}時間,{0}시
Time,,#TIME_FORMAT_MINUTES_ONLY_LONG,{0}min,{0}мин,{0}min,{0}min,{0}min,{0}分,{0}분
Time,,#FREE_IN,Free in,Бесплатно,Kostenlos in,Gratis en,Grátis em,無料まであと,무료까지 남음
,,,,,,,,,
Items,,#CRAFT_FOUNDRY,Foundry,Литейная,Gießerei,Fundición,Fundição,精錬場,주조소
Items,,#CRAFT_FOUNDRY_DESC,Smelt ore into bars,Плавка руды в слитки,Erze zu Barren schmelzen,Fundir mineral en lingotes,Fundir minério em barras,鉱石の精錬,플라브카 루디
Items,,#CRAFT_FOUNDRY_ADD_LINE,Add\nfoundry line,Добавить\nлинию плавки,Gießereizweig\nhinzuf.,Añadir\nlínea de fundición,Adiciona\nlinha fundição,精錬\nライン追加,제련 대기열\n추가
Items,,#CRAFT_FOUNDRY_TAP_TO_START,Tap to start smelting,Начать плавку,Zum Schmelzen tippen,Toca para empezar a fundir,Toque para fundir,タップで精錬を始める,탭하여 제련 시작
Items,,#CRAFT_WORKSHOP,Workshop,Мастерская,Werkstatt,Taller,Oficina,製造場,작업소
Items,,#CRAFT_WORKSHOP_DESC,Craft items,Производство предметов,Items herstellen,Fabricar objetos,Fabricar itens,生産,생산
Items,,#CRAFT_WORKSHOP_ADD_LINE,Add\nworkshop line,Добавить\nлинию производства,Werkstattzweig\nhinzuf.,Añadir\nlínea de taller,Adiciona\nlinha oficina,製造場\nライン追加,작업 대기열\n추가
Items,,#CRAFT_WORKSHOP_TAP_TO_START,Tap to start crafting,Начать производство,Zum Fertigen tippen,Toca para empezar a crear,Toque para criar,タップで製造を始める,탭하여 제작 시작
Items,,#CRAFT_RECIPE_LOCKED,Recipe locked,Купите рецепт,Rezept gesperrt,Receta bloqueada,Projeto bloqueado,レシピ未解放,제조법 잠김
Items,Button,#CRAFT_START_SMELTING,Start smelting,Начать плавку,Schmelzen,Empezar a fundir,Fundir,精錬を始める,제련 시작
Items,Button,#CRAFT_START_CRAFTING,Start crafting,Начать крафт,Fertigen,Empezar a crear,Criar,製造を始める,제작 시작
Items,,#CRAFT_UNLOCK_NEXT_CHAPTER,Unlock next chapter,Откройте следующую главу,Nächstes Kap. entsperren,Desbloquear siguiente capítulo,Desbloquear próximo ato,次のチャプターを解放,다음 챕터 잠금 해제
Items,,#CRAFT_NO_RECIPE_SELECTED,No recipe selected,Выберите рецепт,Kein Rezept ausgew.,Ninguna receta seleccionada,Sem projeto,レシピ未選択,선택한 제조법 없음
Items,Button,#CRAFT_SPEED,speed,скорость,Geschw.,Velocidad,Velocidade,速度,속도
Items,,#CRAFT_BOOST_ACTIVE,<color=white>{0}</color> speed\n<color=lime>Active</color>,<color=white>{0}</color> скорость\n<color=lime>Активна</color>,<color=white>{0}</color> Geschw.\n<color=lime>aktiviert</color>,Velocidad <color=white>{0}</color>\n<color=lime>Activada</color>,Velocidade <color=white>{0}</color>\n<color=lime>Ativada</color>,<color=white>{0}</color> 速度\n<color=lime>オン</color>,<color=white>{0}</color> 속도\n<color=lime>켜짐</color>
Items,Button,#CRAFT_GET_MORE,Get more,Получить бустеры,Boosts erhalten,Obtener más,Obter mais,得る,얻다
,,,,,,,,,
Items,,#ITEM_COMMON,Common,Обычные,Üblich,Común,Comum,コモン,일반
Items,,#ITEM_RARE,Rare,Редкие,Selten,Raro,Raro,レア,희귀
Items,,#ITEM_PRECIOUS,Precious,Драгоценные,Wertvoll,Valioso,Precioso,プレシャス,에픽
Items,,#ITEM_LEGENDARY,Mystic,Мистические,Mystisch,Místico,Místico,ミスティック,신비로운
Items,,#ITEM_CELESTIAL,Celestial,Небесные,Himmlische,Celestiales,Celestiais,天界,천상
Items,,#ITEM_WEAPON,Weapon,Оружие,Waffe,Arma,Arma,武器,무기
Items,,#ITEM_BOOTS,Boots,Ботинки,Stiefel,Botas,Botas,ブーツ,신발
Items,,#ITEM_ARMOR,Armor,Броня,Rüstung,Armadura,Armadura,鎧,갑옷
Items,,#ITEM_SHIELD,Shield,Щит,Schild,Escudo,Escudo,盾,방패
Items,,#ITEM_GLOVES,Gloves,Перчатки,Handschuhe,Guantes,Luvas,グローブ,장갑
,,,,,,,,,
Items,,#ITEM_COPPER_ORE,Copper Ore,Медная руда,Kupfererz,Cobre,Cobre,銅鉱石,구리 광석
Items,,#ITEM_IRON_ORE,Iron Ore,Железо руда,Eisenerz,Hierro,Ferro,鉄鉱石,철 광석
Items,,#ITEM_MITHRIL_ORE,Mithril Ore,Мифрил руда,Mithrilerz,Mithril,Mithril,ミスリル鉱石,미스릴 광석
Items,,#ITEM_SARONITE_ORE,Saronite Ore,Сарот руда,Saroniterz,Saronita,Saronita,サロナイト鉱石,사로나이트 광석
Items,,#ITEM_GOLD_ORE,Gold Ore,Золотая руда,Golderz,Oro,Ouro,金の鉱石,금 광석
Items,,#ITEM_COBALT_ORE,Cobalt Ore,Кобальт руда,Kobalterz,Cobalto,Cobalto,コバルト鉱石,코발트 광석
Items,,#ITEM_THORIUM_ORE,Thorium Ore,Ториум руда,Thoriumerz,Torio,Tório,トリウム鉱石,토륨 광석
Items,,#ITEM_LEYNIR_ORE,Leynir Ore,Ленир руда,Leynirerz,Leynir,Leynir,レイニル鉱石,레이니르 광석
Items,,#ITEM_OBSIDIUM_ORE,Obsidium Ore,Обсид руда,Obsidiumerz,Obsidiana,Obsídio,オブシディウム鉱石,옵시디움 광석
Items,,#ITEM_MAGNETITE_ORE,Magnetite Ore,Магнум руда,Magnetiterz,Magnetita,Magnetita,マグネタイト鉱石,자철석 광석
Items,,#ITEM_SINVYR_ORE,Sinvyr Ore,Синвир руда,Sinvyrerz,Sinvyr,Sinvyr,シンヴィル鉱石,신비르 광석
Items,,#ITEM_PLATINUM_ORE,Platinum Ore,Платум руда,Platinerz,Platino,Platina,プラチナ鉱石,백금 광석
Items,,#ITEM_BLACKROCK_ORE,Blackrock Ore,Блэкрок руда,Schwarzfelserz,Rocanegra,Pedrapreta,ブラックロック鉱石,블랙록 광석
Items,,#ITEM_MYSTICAL_ORE,Lunarite Ore,Лунарит руда,Lunariterz,Lunarita,Lunarita,ルナライト鉱石,루나라이트 광석
Items,,#ITEM_LEYSTONE_ORE,Leystone Ore,Лейстон руда,Leysteinerz,Leystone,Leystone,レイストーン鉱石,레이스톤 광석
Items,,#ITEM_STARDUST_ORE,Stardust Ore,Стардаст руда,Sternstauberz,Estelita,Estelarita,星塵の鉱石,소성단 광석
Items,,#ITEM_LEGENDARY_ORE,Aurorite Ore,Аурорит руда,Aurorit Erz,Aurorita,Aurorita,オーロライト鉱石,아우로라이트 광석
Items,,#ITEM_EMPYRIUM_ORE,Empyrium Ore,Эмпирум руда,Empyriumerz,Empirium,Empirita,エンピリウム鉱石,엠피리움 광석
Items,,#ITEM_OXXEIN_ORE,Oxxein Ore,Оксин руда,Oxxeinerz,Oxxeína,Oxeína,オクセイン鉱石,옥세인 광석
Items,,#ITEM_ELETHIUM_ORE,Elethium Ore,Элитум руда,Elethiumerz,Eletio,Elétio,エレシウム鉱石,엘레튬 광석
Items,,#ITEM_GALITE_ORE,Galite Ore,Галит руда,Galiterz,Galita,Galita,ガライト鉱石,갈라이트 광석
Items,,#ITEM_CELESTITE_ORE,Celestite Ore,Целестит руда,Celestiterz,Celestita,Celestita,セレスタイト鉱石,셀레스타이트 광석
Items,,#ITEM_NETHERITE_ORE,Netherite Ore,Незерит руда,Netheriterz,Netherita,Neterita,ネザライト鉱石,네더라이트 광석
Items,,#ITEM_RIFTSTONE_ORE,Riftstone Ore,Рифтстоун руда,Riftsteinerz,Riftstone,Riftstone,リフトストーン鉱石,리프트스톤 광석
Items,,#ITEM_COPPER_BAR,Copper Bar,Медный слиток,Kupferbarren,Lingote de cobre,Barra de Cobre,銅の鋳塊,구리 막대
Items,,#ITEM_IRON_BAR,Iron Bar,Железо слиток,Eisenbarren,Lingote de hierro,Barra de Ferro,鉄の鋳塊,철 막대
Items,,#ITEM_MITHRIL_BAR,Mithril Bar,Мифрил слиток,Mithrilbarren,Lingote de mithril,Barra de Mithril,ミスリル鋳塊,미스릴 막대
Items,,#ITEM_SARONITE_BAR,Saronite Bar,Сарот слиток,Saronitbarren,Lingote de saronita,Barra de Saronita,サロナイト鋳塊,사로나이트 막대
Items,,#ITEM_GOLD_BAR,Gold Bar,Золотой слиток,Goldbarren,Lingote de oro,Barra de Ouro,金の鋳塊,금 막대
Items,,#ITEM_COBALT_BAR,Cobalt Bar,Кобальт слиток,Kobaltbarren,Lingote de cobalto,Barra de Cobalto,コバルト鋳塊,코발트 막대
Items,,#ITEM_THORIUM_BAR,Thorium Bar,Ториум слиток,Thoriumbarren,Lingote de torio,Barra de Tório,トリウム鋳塊,토륨 막대
Items,,#ITEM_SOLAR_BAR,Solar Bar,Солар слиток,Solarbarren,Lingote solar,Barra Solar,太陽の鋳塊,태양 막대
Items,,#ITEM_MOON_BAR,Moon Bar,Мун слиток,Mondbarren,Lingote lunar,Barra Lunar,月の鋳塊,달 막대
Items,,#ITEM_OBSIDIUM_BAR,Obsidium Bar,Обсид слиток,Obsidiumbarren,Lingote de obsidiana,Barra de Obsídio,オブシディウム鋳塊,옵시디움 막대
Items,,#ITEM_MAGNETITE_BAR,Magnetite Bar,Магнум слиток,Magnetitbarren,Lingote de magnetita,Barra de Magnetita,マグネタイト鋳塊,자철 막대
Items,,#ITEM_SINVYR_BAR,Sinvyr Bar,Синвир слиток,Sinvyrbarren,Lingote de sinvyr,Barra de Sinvyr,シンヴィル鋳塊,신비르 막대
Items,,#ITEM_PLATINUM_BAR,Platinum Bar,Платум слиток,Platinbarren,Lingote de platino,Barra de Platina,プラチナ鋳塊,백금 막대
Items,,#ITEM_BLACKROCK_BAR,Blackrock Bar,Блэкрок слиток,Schwarzfelsbarren,Lingote de rocanegra,Barra de Pedrapreta,ブラックロック鋳塊,블랙록 막대
Items,,#ITEM_MYSTICAL_BAR,Lunarite Bar,Лунарит слиток,Lunaritbarren,Lingote de lunarita,Barra de Lunarita,ルナライトバー,루나라이트 바
Items,,#ITEM_LEYSTONE_BAR,Leystone Bar,Лейстон слиток,Leysteinbarren,Lingote de leystone,Barra de Leystone,レイストーン鋳塊,레이스톤 막대
Items,,#ITEM_STARDUST_BAR,Stardust Bar,Стардаст слиток,Sternstaubbarren,Lingote de estelita,Barra de Estelarita,星塵の鋳塊,소성단 막대
Items,,#ITEM_LEGENDARY_BAR,Aurorite Bar,Ауорит слиток,Aurorit Bar,Lingote de aurorita,Barra de Aurorita,オーロライトバー,아우로라이트 바
Items,,#ITEM_EMPYRIUM_BAR,Empyrium Bar,Эмпирум слиток,Empyriumbarren,Lingote de empirium,Barra de Empirita,エンピリウム鋳塊,엠피리움 막대
Items,,#ITEM_OXXEIN_BAR,Oxxein Bar,Оксин слиток,Oxxeinbarren,Lingote de oxxeína,Barra de Oxeína,オクセイン鋳塊,옥세인 막대
Items,,#ITEM_ELETHIUM_BAR,Elethium Bar,Элитум слиток,Elethiumbarren,Lingote de eletio,Barra de Elétio,エレシウム鋳塊,엘레튬 막대
Items,,#ITEM_GALITE_BAR,Galite Bar,Галит слиток,Galitbarren,Lingote de galita,Barra de Galita,ガライト鋳塊,갈라이트 막대
Items,,#ITEM_CELESTITE_BAR,Celestite Bar,Целестит слиток,Celestitbarren,Lingote de celestita,Barra de Celestita,セレスタイト鋳塊,셀레스타이트 막대
Items,,#ITEM_NETHERITE_BAR,Netherite Bar,Незерит слиток,Netheritbarren,Lingote de netherita,Barra de Neterita,ネザライト鋳塊,네더라이트 막대
Items,,#ITEM_RIFTSTONE_BAR,Riftstone Bar,Рифтстоун слиток,Riftsteinbarren,Lingote de riftstone,Barra de Riftstone,リフトストーン鋳塊,리프트스톤 막대
Items,,#ITEM_CRUDE_BOOTS,Crude Boots,Грубые сапоги,Einf. Stiefel,Botas toscas,Botas toscas,粗雑なブーツ,조잡한 신발
Items,,#ITEM_CRUDE_AXE,Crude Axe,Грубый топор,Einf. Axt,Hacha tosca,Machado tosco,粗雑な斧,조잡한 도끼
Items,,#ITEM_BATTLE_AXE,Battle Axe,Боевой топор,Streitaxt,Hacha de batalla,Machado de guerra,戦斧,전투 도끼
Items,,#ITEM_MITHRIL_AXE,Mithril Axe,Мифрил топор,Mithrilaxt,Hacha de mithril,Machado de Mithril,ミスリルの斧,미스릴 도끼
Items,,#ITEM_SARONITE_PLATE,Saronite Plate,Сарот броня,Saronitplatte,Armadura de saronita,Couraça de Saronita,サロナイトプレート,사로나이트 갑옷
Items,,#ITEM_SARONITE_BOOTS,Saronite Boots,Сарот ботинки,Saronitstiefel,Botas de saronita,Botas de Saronita,サロナイトブーツ,사로나이트 신발
Items,,#ITEM_SARONITE_GLOVES,Saronite Gloves,Сарот перчатки,Saronithandschuhe,Guantes de saronita,Luvas de Saronita,サロナイトの小手,사로나이트 장갑
Items,,#ITEM_SIEGE_GLOVES,Siege Gloves,Перчатки осады,Kampfhandschuhe,Guantes de asedio,Luvas de Cerco,シージグローブ,공성 장갑
Items,,#ITEM_SIEGE_BOOTS,Siege Boots,Ботинки осады,Kampfstiefel,Botas de asedio,Botas de Cerco,シージブーツ,공성 신발
Items,,#ITEM_SIEGE_PLATE,Siege Plate,Броня осады,Kampfplatte,Armadura de asedio,Couraça de Cerco,シージプレート,공성 갑옷
Items,,#ITEM_SOLAR_SHIELD,Solar Shield,Солар щит,Solarschild,Escudo solar,Escudo Solar,太陽の盾,태양 방패
Items,,#ITEM_MOON_AXE,Moon Axe,Мун топор,Mondaxt,Hacha lunar,Machado Lunar,月の斧,달 도끼
Items,,#ITEM_ASSAULT_GLOVES,Assault Gloves,Штурм перчатки,Angriffshandschuhe,Guantes de asalto,Luvas de Assalto,アサルトグローブ,돌격 장갑
Items,,#ITEM_ASSAULT_BOOTS,Assault Boots,Штурм ботинки,Angriffsstiefel,Botas de asalto,Botas de Assalto,アサルトブーツ,돌격 신발
Items,,#ITEM_ASSAULT_SHIELD,Assault Shield,Штурм щит,Angriffsschild,Escudo de asalto,Escudo de Assalto,アサルトシールド,돌격 방패
Items,,#ITEM_ETERNAL_GLOVES,Eternal Gloves,Перчатки вечности,Ewige Handschuhe,Guantes eternos,Luvas Eternas,エターナルグローブ,영원의 장갑
